,Resumo descritivo,Denominação,Número de registro,Classificação,Título,Local de produção,Data de produção,Material/Técnica,Estado de conservação,Dimensões - diâmetro,Dimensões - peso,ACERVO,URL,TAINACAN_COLECTION_ID
0,"Anverso: Rei D. Sancho I a cavalo à direita, segurando o cetro e brandindo uma espada. Legenda: SANCIVS REX PORTVGALI (Rei Sancho de Portugal). Reverso: Cruz composta de cinco escudos, uma estrela de sete pontas em cada quadrante. Legenda: IN NE PTRIS I FILI SPS SCIA (latim abreviado Em nome do Pai e Filho e Espírito Santo) .",Moeda,182344,03 Objetos Pecuniários,Morabitino,(?),1185-1211,Ouro,Bom,"28,6","3,68",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
1,"Anverso: Rei D. Sancho I a cavalo à direita, segurando o cetro e brandindo uma espada. Legenda: SANCIVS REX PORTVGALI (Rei Sancho de Portugal). Reverso: Cruz composta de cinco escudos, uma estrela de sete pontas em cada quadrante. Legenda: IN NE PTRIS I FILI SPS SCIA (latim abreviado Em nome do Pai e Filho e Espírito Santo) .",Moeda,182345,03 Objetos Pecuniários,Morabitino,(?),1185-1211,Ouro,Bom,"29,7","3,76",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
2,"Anverso: Rei a cavalo à direita, segurando o cetro e brandindo uma espada. Legenda: REGIS PORT[VGALENS]IVM (Rei de Portugal). Reverso: Cruz composta de cinco escudos, uma cruz no primeiro quadrante e estrela de sete pontas em três quadrantes. Legenda: [MONETA DO]MINI ALFONSI (Moeda do Senhor Afonso) .",Moeda,182346,03 Objetos Pecuniários,Morabitino,(?),1211-1223,Ouro,Bom,"25,2","2,83",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
3,"Anverso: o rei D. Fernando I em pé, coroado e com armadura completa, segurando a espada e apoiando-se no escudo com cinco besantes, dentro do pórtico gótico. a esquerda, L. Legenda: : FERNANDUS: (R) EX: PORTVGALIE. Reverso: Dentro de um círculo de pontos, uma cruz floreteada com as quinas ao centro de quatro arcos lobados. uma rosa nas junções e uma rosácea nos quatro ângulos exteriores do quadríbolo. Orlas pontuadas. Legenda: FERNANDVS DEI GRA REX PORTVGALI E ALG .",Moeda,182347,03 Objetos Pecuniários,Dobra-pé-terra,Lisboa,1367-1383,Ouro,Bom,"28,2","5,16",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
4,"Anverso: Ao centro, o rei D. Fernando I, de frente, de pé junto do trono, vestido com a armadura e coroado, com a espada erguida na mão direita, e apoiando a esquerda no escudo das quinas. de um e de outro lado da cabeça, uma cruz. no exergo, L, acostado por pontos. Legenda: FERNANDVS D G REX PORTVG. Reverso: Ao centro, as quinas e, em volta, dentro de dois círculos de pontos, oito castelos. Legenda: FERNANDVS : D : G : REX : PORTUGALI : AL :? .",Moeda,182348,03 Objetos Pecuniários,Dobra gentil,Lisboa,1367-1383,Ouro,Bom,"26,9","3,01",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
5,"Anverso: busto coroado de D. Beatriz ladeado pela letra S. Reverso: armas de Castela, Leão e Portugal em esquartelado heráldico .",Moeda,182349,03 Objetos Pecuniários,Moeda de ouro,(?),1383-1385,Ouro,Bom,"30,9","7,23",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
6,"Anverso: Ao centro, o escudo das quinas, assente sobre a cruz de Avis, entre quatro castelos, tendo, por cima, a coroa real, dentro de arcos duplos. Legenda + CRVZATVS: ALFOÁSI. QUIÈTI: REGIS. Reverso: Ao centro, a cruz de São Jorge(a cheio), dentro de um círculo gótico duplo unido por aneis. Legenda: + ADIVTORIVM : NOSTRV : IN : NOMIN .",Moeda,35299,03 Objetos Pecuniários,Cruzado,(?),1438-1481,Ouro,Bom,"23,2","3,52",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
7,"Anverso: Ao centro, o escudo das quinas, assente sobre a cruz de Avis, entre quatro castelos, tendo, por cima, a coroa real, dentro de arcos duplos. Legenda + CRVZATVS : ALFONSI. QVIИTI : REGIS. Reverso: Ao centro, a cruz de São Jorge(a cheio), dentro de um círculo gótico duplo unido por aneis. No topo do braco esquerdo da cruz, um ponto. Legenda: + ADIVTORIVM : NOSTRVM : IN : NOMINE",Moeda,35300,03 Objetos Pecuniários,Cruzado,(?),1438-1481,Ouro,Bom,"22,6","3,53",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
8,"Anverso: Ao centro, o escudo das quinas, assente sobre a cruz de Avis, entre quatro castelos, tendo, por cima, a coroa real, dentro de arcos duplos. Legenda + CRVZATVS : ALFONSVS : QVIN. Reverso: Ao centro, a cruz de São Jorge(a cheio), dentro de um círculo gótico duplo unido por aneis. Legenda + ALFONSVS : QVINTI : REGISI",Moeda,35301,03 Objetos Pecuniários,Cruzado,(?),1438-1481,Ouro,Bom,"21,7","3,5",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
9,"Anverso: Ao centro, as armas do Reino antigas sobre a cruz de Avis, entre cinco arcos lobulados cuja as terminas são em aneletes. Em volta quatro aneletes. Legenda + IOANES : SECVNDO : REGIS: Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Legenda + IOANES : SECVNDO : REGIS: PO",Moeda,41142,03 Objetos Pecuniários,Cruzado,Lisboa,1495-1521,Ouro,Bom,22,"3,5",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
10,"Anverso: Ao centro, as armas do Reino com sete castelos na orla, entre cinco arcos duplos lobulados, cujas terminais são em aneletes. Em volta quatro aneletes. Legenda + IOHANES : II : R : P : ET : A : D : GVINEE Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Em volta oito pontos. Legenda + IOHANES : II : R : P : ET : A : D : GVINEE",Moeda,41143,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,2","3,49",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
11,"Anverso: Ao centro, as armas do Reino com sete castelos na orla, entre cinco arcos duplos lobulados. Em volta seis pontos Legenda + IOANIS : II : R : P : ET : A : D : GVINEE Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Tendo em volta oito pontos Legenda + IOANIS : II : R : P : ET : A : D : GVINEE :",Moeda,41144,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,22,"3,49",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
12,"Anverso: Ao centro, as armas do Reino com sete castelos na orla, entre cinco arcos duplos lobulados, cujas terminais são em aneletes. Em volta oito aneletes Legenda + IOHANES : II : R : P : ET : A : D : GVINE Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Legenda + IOANIS : SECVNDO : DEI : GRACA",Moeda,41145,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,6","3,52",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
13,"Anverso: Ao centro, as armas do Reino, com sete castelos, entre cinco arcos duplos lobulados, cujas terminais são em aneletes. Legenda + IOAES : SECVNDVS : D : G : REGIS Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Legenda + IOANIS : SECVNDVS : DEI : GRACIA",Moeda,41146,03 Objetos Pecuniários,Cruzado,Lisboa,1495-1521,Ouro,Bom,"22,7","3,51",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
14,"Anverso: Ao centro, as armas do Reino, com sete castelos na orla, entre cinco arcos duplos, lobulados cujas terminais são em aneletes. Legenda + IOHANES : II : R : P : ET: A : D : GVIN Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Legenda + IOHANES : II : R : P : ET : A : D : GVINE",Moeda,41147,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,2","3,47",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
15,"Anverso: Ao centro, as armas do Reino, coroadas e ornamentadas lateralmente. Legenda + IOAHNES : I. I. R. PORTVGALIE : ET : A : D : GVINE Reverso: ao centro, o rei sentado no trono, cortanso a legenda, com manto e coroa, segurando a espada ao alto. Legenda + IVSTVS : VT : PALMA : FLOREBIT : .",[Moeda?],41148,03 Objetos Pecuniários,Justo,Lisboa,1495-1521,Ouro,Bom,"31,6","3,1",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
16,"Anverso: Ao centro, as armas do Reino, entre dois aneletes. Legenda + IOANIS : S : SECVNDVS : DEIGRAC Reverso: Ao centro, dentro de quatro arcos lobulados duplos, cantonados por aneletes, uma espada segura na lâmina por uma mão. Legenda : IOHANES : II : R : P ET : A : D : GVNIEE",Moeda,41149,03 Objetos Pecuniários,Espadim,Lisboa,1495-1521,Ouro,Bom,22,"2,96",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
17,"Anverso: Ao centro, as armas do Reino, entre dois aneletes. Legenda + IOHANES : I:I : R. P : ET : A : D : GVINE Reverso: Ao centro, dentro de quatro arcos lobulados duplos, cantonados por aneletes, uma espada segura na lâmina por uma mão. Legenda IOHNES : II : R P : ET : A : D : GVNIE",Moeda,41150,03 Objetos Pecuniários,Espadim,(?),1495-1521,Ouro,Bom,"21,6","2,52",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
18,"Anverso: Ao centro, as armas do Reino, dentro de cinco arcos lobulados duplos. Legenda + EMANVEL : P : R : P : ET : A : D : GVIN Reverso: Ao centro, a cruz de S. Jorge, entre quatro arcos lobulados duplos ligados por angulos agudos e aneletes na junção. No canto superior direito da cruz, uma estrela. Legenda + EMANVEL : P : R : PET : A : D : GVINEE",Moeda,41054,03 Objetos Pecuniários,Cruzado,Lisboa,1495-1521,Ouro,Bom,"21,7","3,49",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
19,"Anverso: Ao centro, as armas do Reino, dentro de cinco arcos lobulados duplos. Legenda + EMANVEL : P : R : P : ET : A : D : GVINEE. Reverso: Ao centro, a cruz de S. Jorge, entre quatro arcos lobulados duplos ligados por angulos agudos e aneletes na junção. No canto inferior esquerdo da cruz, uma estrela. Legenda + EMANVEL : P : R : P : ET : A : D : GVIN:",Moeda,41055,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"21,7","3,54",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
20,"Anverso: Ao centro, as armas do Reino, dentro de cinco arcos lobulados duplos. Legenda + I : EMANVEL : R : P : ET : A : D : GVINEE Reverso: Ao centro, a cruz de S. Jorge, entre quatro arcos lobulados duplos ligados por angulos agudos e aneletes na junção. No braço superior da cruz, três pontos. Nos cantos superiores, duas estrelas. Em volta, oito pontos. Legenda +: I : EMANVEL. R. P. ET. A : D : GVINE .",Moeda,41056,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,1","3,51",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
21,"Anverso: Ao centro, as armas do Reino, dentro de cinco arcos lobulados duplos. Legenda + EMANVEL : P : R : P : ET : A : D : GVINEE. Reverso: Ao centro, a cruz de S. Jorge, entre quatro arcos lobulados duplos ligados por angulos agudos e aneletes na junção. Ao centro da mesma, uma estrela. Em volta, oito pontos. Legenda + EMANVEL : P : R : P : ET : A : D : GVINEE:",Moeda,41057,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,4","3,56",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
